-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.099,  0.247
-183.798, 80.186, 0.238,  0.280
-183.795, 80.175, 0.370,  0.313
-183.790, 80.158, 0.483,  0.346
-183.783, 80.139, 0.588,  0.379
-183.772, 80.113, 0.815,  0.412
-183.757, 80.082, 0.951,  0.445
-183.738, 80.047, 1.094,  0.478
-183.718, 80.007, 1.274,  0.511
-183.696, 79.960, 1.475,  0.544
-183.673, 79.907, 1.671,  0.577
-183.650, 79.848, 1.847,  0.610
-183.628, 79.784, 1.988,  0.643
-183.605, 79.718, 2.085,  0.676
-183.583, 79.649, 2.138,  0.709
-183.562, 79.581, 2.156,  0.742
-183.540, 79.512, 2.151,  0.775
-183.520, 79.445, 2.130,  0.808
-183.499, 79.378, 2.099,  0.841
-183.479, 79.313, 2.060,  0.874
-183.459, 79.249, 2.017,  0.907
-183.439, 79.186, 1.973,  0.940
-183.420, 79.125, 1.930,  0.973
-183.401, 79.065, 1.889,  1.006
-183.382, 79.006, 1.853,  1.039
-183.364, 78.949, 1.822,  1.072
-183.345, 78.892, 1.798,  1.105
-183.327, 78.835, 1.781,  1.138
-183.309, 78.779, 1.772,  1.171
-183.291, 78.722, 1.770,  1.204
-183.273, 78.666, 1.775,  1.237
-183.255, 78.609, 1.787,  1.270
-183.237, 78.551, 1.803,  1.303
-183.220, 78.493, 1.822,  1.336
-183.202, 78.434, 1.843,  1.369
-183.184, 78.375, 1.864,  1.402
-183.166, 78.314, 1.884,  1.435
-183.149, 78.254, 1.901,  1.468
-183.131, 78.192, 1.915,  1.501
-183.114, 78.130, 1.926,  1.534
-183.097, 78.068, 1.934,  1.567
-183.080, 78.006, 1.940,  1.600
-183.063, 77.943, 1.943,  1.633
-183.046, 77.881, 1.944,  1.666
-183.030, 77.818, 1.945,  1.699
-183.013, 77.755, 1.945,  1.732
